physical_gpu,phase,bf16_s,sage_s,delta_s,latency_reduction_percent,speedup,bf16_share_percent,sage_share_percent,share_delta_percentage_points
5,linear_gemm,2.4469673849999998,2.4247147329999996,-0.02225265200000015,0.909397163869438,1.0091774309353365,48.85671803300457,52.460103237519654,3.603385204515085
5,vsa,1.083437354,0.6291758869999999,-0.45426146700000003,41.92780185424547,1.721994399953856,21.63216135829393,13.612583590705636,-8.019577767588295
5,rdma_barrier,0.485855139,0.447114396,-0.038740742999999966,7.973723007178065,1.086646154421742,9.700696329881504,9.673578113710931,-0.02711821617057275
5,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
5,pointwise,0.075077904,0.075043091,-3.4812999999994654e-05,0.04636916875036183,1.0004639067972292,1.4990228348454206,1.6236006023899479,0.12457776754452721
5,attention_other,1.4176e-05,1.4144e-05,-3.1999999999999016e-08,0.22573363431150548,1.002262443438914,0.000283041302095603,0.00030601360650514016,2.2972304409537138e-05
5,communication_other,0.004199267,0.004637858,0.00043859100000000033,-10.444465665079177,0.9054324216049736,0.0838435383413584,0.10034273565036173,0.01649919730900333
5,layout_copy,0.122869993,0.19656499,0.073694997,-59.97802653085526,0.6250858456533892,2.453250762358749,4.252797051933457,1.7995462895747076
5,memory_ops,0.008724069,0.008792194,6.812500000000048e-05,-0.7808856165626439,0.9922516495882597,0.1741867839539987,0.19022419365334092,0.016037409699342225
5,other,0.12616781,0.12730947,0.0011416600000000166,-0.9048742305981349,0.9910324031668656,2.519095741037715,2.7544138897736103,0.23531814873589552
5,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
5,idle,0.655143229,0.6561106640000001,0.000967435000000072,-0.14766770946816454,0.9985255002653027,13.08074157698066,14.195333042782963,1.1145914658023024
5,sage_quantization,0.0,0.052539274,0.052539274,,0.0,0.0,1.136717528273596,1.136717528273596
6,linear_gemm,2.5106755950000004,2.495074267,-0.015601328000000247,0.6213995958327003,1.0062528511501017,50.12873092187167,53.982372380008414,3.8536414581367424
6,vsa,1.091691142,0.629297685,-0.4623934569999999,42.35570292829214,1.7347769871424203,21.796958402787517,13.615218760759731,-8.181739642027786
6,rdma_barrier,0.41587643300000005,0.37885401,-0.037022423000000027,8.902265207223229,1.0977221357641167,8.30348526433372,8.196725250214538,-0.10676001411918179
6,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
6,pointwise,0.07529203300000001,0.07519935800000001,-9.26750000000004e-05,0.12308739226101172,1.001232390840358,1.5032981840960151,1.6269815291608571,0.12368334506484202
6,attention_other,1.4048e-05,1.3984e-05,-6.399999999999973e-08,0.4555808656036427,1.0045766590389016,0.0002804856244243109,0.0003025519141238603,2.20662896995494e-05
6,communication_other,0.003700004,0.004042115,0.000342111,-9.246233247315407,0.9153633679398038,0.07387513755071526,0.08745349187348166,0.013578354322766398
6,layout_copy,0.12288382,0.196308824,0.07342500399999999,-59.7515637127817,0.6259719634406246,2.453526835445944,4.247254752617563,1.7937279171716187
6,memory_ops,0.008270920999999999,0.008259943,-1.0977999999998295e-05,0.13273007927410135,1.0013290648615853,0.16513912594313396,0.17870863595566225,0.01356951001252829
6,other,0.125281876,0.126888387,0.001606511000000005,-1.2823171645354394,0.9873391802198572,2.5014069774280387,2.745303515942445,0.2438965385144063
6,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
6,idle,0.654770454,0.6556576390000001,0.0008871850000000681,-0.13549557628635273,0.9986468776580516,13.073298664918816,14.18553158533903,1.1122329204202135
6,sage_quantization,0.0,0.052420489,0.052420489,,0.0,0.0,1.1341475462141564,1.1341475462141564
7,linear_gemm,2.669587514,2.669673483,8.596900000013008e-05,-0.0032203102370417396,0.999967797934636,53.301603133516075,57.7599272287874,4.458324095271323
7,vsa,1.319705387,0.798687307,-0.5210180799999999,39.47987824649229,1.6523430076246346,26.34954367374871,17.28006103541771,-9.069482638331
7,rdma_barrier,0.006372387,0.004187649999999999,-0.002184737000000001,34.28443689939109,1.5217095507026617,0.12723255600572048,0.09060222562791644,-0.03663033037780404
7,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
7,pointwise,0.075729355,0.075533118,-0.00019623700000000188,0.25912936931788455,1.0025980259414156,1.512029856522303,1.6342026194682069,0.12217276294590396
7,attention_other,1.8432e-05,1.84e-05,-3.1999999999999016e-08,0.17361111111110578,1.0017391304347825,0.0003680175846660662,0.00039809462384718456,3.0077039181118355e-05
7,communication_other,0.001507233,0.001497857,-9.375999999999959e-06,0.6220670593066872,1.0062596095621945,0.030093763465114422,0.032407001032166975,0.0023132375670525535
7,layout_copy,0.127117874,0.20807545200000002,0.08095757800000003,-63.6870138341049,0.6109220130397697,2.5380649390931715,4.501832543248527,1.9637676041553558
7,memory_ops,0.008508168,0.008505827,-2.3409999999994546e-06,0.027514736427389008,1.000275223091182,0.1698760545406421,0.18402847826490362,0.01415242372426151
7,other,0.14389247,0.14479358,0.0009011100000000105,-0.6262384682117212,0.9937765887133946,2.872990411297439,3.13269270465148,0.25970229335404094
7,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
7,idle,0.656017506,0.65700188,0.0009843740000000656,-0.15005300788422338,0.998501718138158,13.098197594226162,14.21461501551593,1.1164174212897677
7,sage_quantization,0.0,0.054042147,0.054042147,,0.0,0.0,1.169233053361916,1.169233053361916
