physical_gpu,rank,bin_start_s,bin_end_s,mean_sm_active_percent,mean_gpc_clock_mhz
1,2,3.7,3.8,91.51,2162.262809
1,2,3.8,3.9,89.76,2162.674573
1,2,3.9,4.0,91.12,2154.651982
1,2,4.0,4.1,90.02,2173.741973
1,2,4.1,4.2,89.48,2174.830733
1,2,4.2,4.3,90.03,2172.112937
1,2,4.3,4.4,92.4,2149.283712
1,2,4.4,4.5,90.23,2157.086143
1,2,4.5,4.6,90.7,2147.012394
1,2,4.6,4.7,90.45,2162.287268
1,2,4.7,4.8,89.75,2159.653142
1,2,4.8,4.9,89.9,2165.884509
1,2,4.9,5.0,91.31,2152.1155599999997
1,2,5.0,5.1,91.19,2148.0218990000003
1,2,5.1,5.2,89.93,2146.13509
1,2,5.2,5.3,91.53,2144.654397
1,2,5.3,5.4,89.63,2173.157842
1,2,5.4,5.5,89.68,2174.285673
1,2,5.5,5.6,90.01,2166.702382
1,2,5.6,5.7,88.33,2177.204644
1,2,5.7,5.8,90.37,2195.0526469999995
1,2,5.8,5.9,89.57,2189.493676
1,2,5.9,6.0,89.55,2181.6222769999995
1,2,6.0,6.1,89.91,2179.5909100000003
1,2,6.1,6.2,92.71,2149.1703270000003
1,2,6.2,6.3,84.8,2194.190325
1,2,6.3,6.4,91.15,2172.734945
1,2,6.4,6.5,89.63,2181.1626310000006
1,2,6.5,6.6,89.32,2179.875228
1,2,6.6,6.7,89.82,2179.6479140000006
1,2,6.7,6.8,92.75,2144.850667
1,2,6.8,6.9,89.98,2157.109665
1,2,6.9,7.0,90.87,2145.4008230000004
1,2,7.0,7.1,90.33,2161.080641
1,2,7.1,7.2,89.9,2162.800744
1,2,7.2,7.3,89.82,2170.925929
1,2,7.3,7.4,91.31,2151.606794
1,2,7.4,7.5,91.66,2143.547586
1,2,7.5,7.6,90.13,2146.228154
1,2,7.6,7.7,91.58,2137.5951750000004
1,2,7.7,7.8,90.08,2162.6747560000003
1,2,7.8,7.9,89.74,2163.0133939999996
1,2,7.9,8.0,90.29,2159.055723
1,2,8.0,8.1,92.63,2144.9263710000005
1,2,8.1,8.2,90.12,2151.342252
1,2,8.2,8.3,90.88,2137.0494459999995
1,2,8.3,8.4,88.07,2195.357236
1,2,8.4,8.5,87.27,2221.3109299999996
1,2,8.5,8.6,92.59,2174.126642
1,2,8.6,8.7,89.89,2166.914005
1,2,8.7,8.8,90.74,2152.353317
1,2,8.8,8.9,90.61,2165.452425
1,2,8.9,9.0,89.6,2170.193569
1,2,9.0,9.1,89.95,2173.283615
1,2,9.1,9.2,91.48,2157.7980430000007
1,2,9.2,9.3,91.36,2150.4604799999997
1,2,9.3,9.4,90.06,2153.160997
1,2,9.4,9.5,91.33,2143.693957
1,2,9.5,9.6,89.92,2165.359195
1,2,9.6,9.7,89.82,2164.889163
1,2,9.7,9.8,90.23,2158.5567710000005
1,2,9.8,9.9,92.87,2136.4492010000004
1,2,9.9,10.0,88.8,2153.057432
1,2,10.0,10.1,91.18,2142.293283
1,2,10.1,10.2,90.1,2160.77464
1,2,10.2,10.3,89.75,2159.962975
1,2,10.3,10.4,90.13,2162.464296
1,2,10.4,10.5,92.98,2134.545743
1,2,10.5,10.6,90.28,2141.4251980000004
1,2,10.6,10.7,91.14,2128.9867389999995
1,2,10.7,10.8,90.47,2160.197245
1,2,10.8,10.9,89.58,2166.962502
1,2,10.9,11.0,89.88,2167.0745790000005
1,2,11.0,11.1,92.33,2150.422316
1,2,11.1,11.2,32.26,2454.596152
1,2,11.2,11.3,90.73,2433.122418
1,2,11.3,11.4,85.98,2393.790518
1,2,11.4,11.5,88.2,2373.668806
1,2,11.5,11.6,89.14,2364.710339
1,2,11.6,11.7,87.74,2349.319556
1,2,11.7,11.8,87.96,2352.2533960000005
1,2,11.8,11.9,86.26,2348.3474750000005
1,2,11.9,12.0,88.78,2346.283088
1,2,12.0,12.1,88.44,2349.096454
1,2,12.1,12.2,88.3,2332.0054680000003
1,2,12.2,12.3,86.96,2356.3475209999997
1,2,12.3,12.4,88.43,2331.7396639999997
1,2,12.4,12.5,86.71,2348.8648279999998
1,2,12.5,12.6,89.36,2345.485262
1,2,12.6,12.7,88.74,2334.5162210000003
1,2,12.7,12.8,86.56,2350.821249
1,2,12.8,12.9,88.8,2325.487238
1,2,12.9,13.0,86.7,2352.4273259999995
1,2,13.0,13.1,88.25,2332.625411
1,2,13.1,13.2,87.76,2348.221422
1,2,13.2,13.3,89.52,2339.000902
1,2,13.3,13.4,88.25,2334.039218
1,2,13.4,13.5,87.01,2351.401858
1,2,13.5,13.6,88.07,2327.762331
1,2,13.6,13.7,12.39,2549.051401999999
1,2,13.7,13.8,2.0,2573.118783
1,2,13.8,13.843227,1.744186046511628,2573.343906976744
2,4,0.0,0.1,20.404040404040405,2510.6243649292933
2,4,0.1,0.2,0.0,2514.2506902972973
2,4,0.2,0.3,49.40217391304348,2432.1957718804347
2,4,0.3,0.4,90.7,2276.6183650000003
2,4,0.4,0.5,90.27,2185.231049
2,4,0.5,0.6,92.83,2152.644753
2,4,0.6,0.7,90.93,2152.300104
2,4,0.7,0.8,92.22,2123.2385809999996
2,4,0.8,0.9,91.35,2144.3018119999997
2,4,0.9,1.0,91.07,2148.811979
2,4,1.0,1.1,91.51,2140.4757670000004
2,4,1.1,1.2,91.73,2141.332218
2,4,1.2,1.3,93.6,2117.627411
2,4,1.3,1.4,90.97,2134.833582
2,4,1.4,1.5,92.29,2105.466907
2,4,1.5,1.6,91.31,2145.0104549999996
2,4,1.6,1.7,91.14,2139.9027309999997
2,4,1.7,1.8,91.45,2135.1425639999998
2,4,1.8,1.9,93.39,2120.956405
