color_space,frame_index,time_s,psnr_db,ssim,mse
rgb,264,11.0,15.4,0.469185,1875.91
rgb,265,11.041666666666666,15.31,0.459986,1913.89
rgb,266,11.083333333333334,15.17,0.451865,1976.69
rgb,267,11.125,15.15,0.44498,1987.07
rgb,268,11.166666666666666,15.13,0.434598,1994.69
rgb,269,11.208333333333334,15.15,0.431139,1987.58
rgb,270,11.25,15.1,0.42521,2010.6
rgb,271,11.291666666666666,15.07,0.420978,2021.86
rgb,272,11.333333333333334,15.05,0.411603,2031.16
rgb,273,11.375,15.05,0.40782,2032.18
rgb,274,11.416666666666666,14.98,0.399263,2065.22
rgb,275,11.458333333333334,14.96,0.396116,2074.47
rgb,276,11.5,14.91,0.389947,2097.43
rgb,277,11.541666666666666,14.9,0.386922,2101.78
rgb,278,11.583333333333334,14.88,0.385065,2111.79
rgb,279,11.625,14.91,0.385791,2099.27
rgb,280,11.666666666666666,14.89,0.384041,2109.73
rgb,281,11.708333333333334,14.9,0.384294,2105.42
rgb,282,11.75,14.88,0.383134,2114.73
rgb,283,11.791666666666666,14.9,0.383924,2105.18
rgb,284,11.833333333333334,14.92,0.383178,2093.92
rgb,285,11.875,14.96,0.383857,2076.71
rgb,286,11.916666666666666,14.95,0.381543,2081.94
rgb,287,11.958333333333334,14.96,0.381571,2074.66
rgb,288,12.0,14.96,0.380733,2073.66
rgb,289,12.041666666666666,14.98,0.381257,2064.21
rgb,290,12.083333333333334,14.98,0.383473,2065.97
rgb,291,12.125,15.0,0.386769,2056.56
rgb,292,12.166666666666666,15.01,0.389428,2052.53
rgb,293,12.208333333333334,15.02,0.391064,2047.95
rgb,294,12.25,15.01,0.394996,2049.42
rgb,295,12.291666666666666,15.02,0.397736,2045.48
rgb,296,12.333333333333334,15.06,0.402051,2026.56
rgb,297,12.375,15.09,0.405619,2012.94
rgb,298,12.416666666666666,15.11,0.41028,2004.33
rgb,299,12.458333333333334,15.22,0.415129,1956.09
rgb,300,12.5,15.22,0.418433,1954.12
rgb,301,12.541666666666666,15.19,0.422789,1969.33
rgb,302,12.583333333333334,14.94,0.418697,2086.14
rgb,303,12.625,14.82,0.416617,2145.06
rgb,304,12.666666666666666,14.85,0.416778,2127.51
rgb,305,12.708333333333334,14.94,0.420056,2085.74
rgb,306,12.75,15.03,0.429181,2042.11
rgb,307,12.791666666666666,15.16,0.438101,1983.34
rgb,308,12.833333333333334,15.11,0.443466,2003.14
rgb,309,12.875,15.16,0.452164,1982.71
rgb,310,12.916666666666666,15.46,0.463236,1851.49
rgb,311,12.958333333333334,15.56,0.472556,1807.59
rgb,312,13.0,15.57,0.478122,1805.27
rgb,313,13.041666666666666,15.62,0.482097,1783.25
rgb,314,13.083333333333334,15.6,0.48509,1789.74
rgb,315,13.125,15.63,0.48864,1776.65
rgb,316,13.166666666666666,15.61,0.488593,1786.56
rgb,317,13.208333333333334,15.64,0.491205,1773.28
rgb,318,13.25,15.7,0.496785,1748.17
rgb,319,13.291666666666666,15.76,0.502827,1724.45
rgb,320,13.333333333333334,15.82,0.50939,1702.14
rgb,321,13.375,15.84,0.512682,1693.26
rgb,322,13.416666666666666,15.84,0.513929,1694.29
rgb,323,13.458333333333334,15.85,0.514921,1691.91
rgb,324,13.5,15.81,0.512039,1707.56
rgb,325,13.541666666666666,15.78,0.51245,1720.08
rgb,326,13.583333333333334,15.73,0.512145,1738.07
rgb,327,13.625,15.71,0.51199,1747.98
rgb,328,13.666666666666666,15.66,0.511041,1766.85
rgb,329,13.708333333333334,15.64,0.51064,1772.51
rgb,330,13.75,15.65,0.51092,1769.32
rgb,331,13.791666666666666,15.71,0.513831,1745.63
rgb,332,13.833333333333334,15.85,0.517301,1689.1
rgb,333,13.875,15.88,0.521052,1678.46
rgb,334,13.916666666666666,15.95,0.523429,1652.2
rgb,335,13.958333333333334,15.98,0.527059,1639.41
rgb,336,14.0,15.98,0.526004,1640.69
rgb,337,14.041666666666666,15.95,0.525196,1650.83
rgb,338,14.083333333333334,15.95,0.524266,1651.65
rgb,339,14.125,15.97,0.526273,1646.34
rgb,340,14.166666666666666,16.01,0.530119,1630.85
rgb,341,14.208333333333334,16.08,0.533599,1603.47
rgb,342,14.25,16.14,0.536752,1582.2
rgb,343,14.291666666666666,16.2,0.538881,1558.52
rgb,344,14.333333333333334,16.07,0.537913,1606.92
rgb,345,14.375,16.29,0.538204,1529.18
rgb,346,14.416666666666666,16.39,0.537624,1494.13
rgb,347,14.458333333333334,16.39,0.536559,1493.94
rgb,348,14.5,15.99,0.521778,1637.03
rgb,349,14.541666666666666,15.87,0.512228,1682.74
rgb,350,14.583333333333334,15.58,0.504749,1801.25
rgb,351,14.625,15.55,0.504156,1810.1
rgb,352,14.666666666666666,15.53,0.503206,1821.26
rgb,353,14.708333333333334,15.45,0.492788,1854.91
rgb,354,14.75,15.42,0.478699,1867.54
rgb,355,14.791666666666666,15.3,0.465444,1918.61
rgb,356,14.833333333333334,15.11,0.438542,2002.96
rgb,357,14.875,15.04,0.419064,2037.07
rgb,358,14.916666666666666,14.77,0.379889,2166.83
rgb,359,14.958333333333334,14.6,0.357274,2253.12
rgb,360,15.0,14.53,0.348304,2292.43
rgb,361,15.041666666666666,14.52,0.344812,2294.95
yuv,0,0.0,21.11,0.754584,503.11
yuv,1,0.041666666666666664,21.11,0.754718,503.26
yuv,2,0.08333333333333333,21.1,0.75472,504.65
yuv,3,0.125,21.11,0.755864,503.29
yuv,4,0.16666666666666666,21.09,0.755837,505.51
yuv,5,0.20833333333333334,21.11,0.757402,503.67
yuv,6,0.25,21.1,0.757022,504.29
yuv,7,0.2916666666666667,21.13,0.757715,501.43
yuv,8,0.3333333333333333,21.12,0.756607,502.6
yuv,9,0.375,21.16,0.757904,498.18
yuv,10,0.4166666666666667,21.16,0.75778,498.3
yuv,11,0.4583333333333333,21.18,0.758132,495.96
yuv,12,0.5,21.17,0.757143,497.2
yuv,13,0.5416666666666666,21.18,0.758072,495.47
yuv,14,0.5833333333333334,21.13,0.755882,501.67
yuv,15,0.625,21.1,0.755542,505.21
yuv,16,0.6666666666666666,21.05,0.753135,510.49
yuv,17,0.7083333333333334,21.04,0.752319,511.34
yuv,18,0.75,20.99,0.751498,517.3
yuv,19,0.7916666666666666,20.92,0.75104,525.83
yuv,20,0.8333333333333334,20.87,0.749551,532.26
yuv,21,0.875,20.69,0.747395,555.06
yuv,22,0.9166666666666666,20.09,0.740117,636.8
yuv,23,0.9583333333333334,19.99,0.736994,652.44
yuv,24,1.0,19.87,0.733469,670.25
yuv,25,1.0416666666666667,20.01,0.733857,648.8
yuv,26,1.0833333333333333,19.99,0.733018,651.86
yuv,27,1.125,20.07,0.732499,639.97
yuv,28,1.1666666666666667,20.12,0.730921,632.4
yuv,29,1.2083333333333333,20.29,0.730571,607.95
yuv,30,1.25,20.36,0.729821,598.24
yuv,31,1.2916666666666667,20.46,0.731513,584.91
yuv,32,1.3333333333333333,20.57,0.732894,570.1
yuv,33,1.375,20.69,0.734674,554.51
yuv,34,1.4166666666666667,20.74,0.73378,548.82
yuv,35,1.4583333333333333,20.69,0.732928,554.43
yuv,36,1.5,20.58,0.729588,568.83
yuv,37,1.5416666666666667,20.53,0.728278,575.09
yuv,38,1.5833333333333333,20.46,0.72578,584.5
yuv,39,1.625,20.38,0.722779,596.32
yuv,40,1.6666666666666667,20.38,0.722226,595.7
yuv,41,1.7083333333333333,20.43,0.724543,589.54
yuv,42,1.75,20.5,0.72676,579.15
yuv,43,1.7916666666666667,20.55,0.728797,573.0
yuv,44,1.8333333333333333,20.61,0.730997,564.39
yuv,45,1.875,20.71,0.734552,552.45
yuv,46,1.9166666666666667,20.81,0.738306,539.87
yuv,47,1.9583333333333333,20.88,0.7423,531.4
yuv,48,2.0,20.92,0.743477,526.29
yuv,49,2.0416666666666665,21.03,0.748445,512.69
yuv,50,2.0833333333333335,21.06,0.749269,509.61
yuv,51,2.125,21.15,0.754053,498.5
yuv,52,2.1666666666666665,21.04,0.753917,512.05
yuv,53,2.2083333333333335,21.05,0.757589,511.02
yuv,54,2.25,21.06,0.760919,509.51
yuv,55,2.2916666666666665,21.11,0.764377,503.71
yuv,56,2.3333333333333335,21.14,0.766206,500.51
yuv,57,2.375,21.22,0.770321,490.73
yuv,58,2.4166666666666665,21.43,0.776574,467.5
yuv,59,2.4583333333333335,21.53,0.779769,456.96
yuv,60,2.5,21.61,0.78307,448.65
yuv,61,2.5416666666666665,21.58,0.786297,451.77
yuv,62,2.5833333333333335,21.62,0.789622,448.11
yuv,63,2.625,21.69,0.792789,440.54
yuv,64,2.6666666666666665,21.85,0.795957,425.09
yuv,65,2.7083333333333335,21.97,0.79931,413.04
yuv,66,2.75,22.09,0.801886,402.08
yuv,67,2.7916666666666665,22.08,0.802612,402.72
yuv,68,2.8333333333333335,22.04,0.800686,406.45
yuv,69,2.875,22.0,0.80184,410.38
yuv,70,2.9166666666666665,21.83,0.800676,426.91
yuv,71,2.9583333333333335,21.75,0.799792,434.89
yuv,72,3.0,21.58,0.796403,452.42
yuv,73,3.0416666666666665,21.53,0.796297,456.93
yuv,74,3.0833333333333335,21.51,0.796024,458.87
yuv,75,3.125,21.57,0.79738,453.01
yuv,76,3.1666666666666665,21.65,0.798941,445.0
yuv,77,3.2083333333333335,21.76,0.801639,433.79
yuv,78,3.25,21.82,0.803112,427.47
yuv,79,3.2916666666666665,21.86,0.804014,423.44
yuv,80,3.3333333333333335,21.83,0.803411,426.58
yuv,81,3.375,21.85,0.803954,425.18
yuv,82,3.4166666666666665,21.79,0.802598,430.83
yuv,83,3.4583333333333335,21.75,0.801989,434.75
yuv,84,3.5,21.65,0.799893,445.0
yuv,85,3.5416666666666665,21.6,0.799514,449.73
yuv,86,3.5833333333333335,21.55,0.798014,455.29
yuv,87,3.625,21.51,0.797619,459.61
yuv,88,3.6666666666666665,21.47,0.797106,463.49
yuv,89,3.7083333333333335,21.47,0.796767,463.64
yuv,90,3.75,21.54,0.798481,455.78
yuv,91,3.7916666666666665,21.6,0.799591,449.99
yuv,92,3.8333333333333335,21.68,0.80106,441.91
yuv,93,3.875,21.7,0.801706,439.25
yuv,94,3.9166666666666665,21.74,0.803087,435.27
yuv,95,3.9583333333333335,21.75,0.803469,434.93
yuv,96,4.0,21.76,0.803619,434.01
yuv,97,4.041666666666667,21.76,0.803681,433.98
yuv,98,4.083333333333333,21.76,0.802852,433.94
yuv,99,4.125,21.76,0.80321,433.72
yuv,100,4.166666666666667,21.74,0.802492,435.53
yuv,101,4.208333333333333,21.76,0.803472,433.28
yuv,102,4.25,21.8,0.804095,429.68
yuv,103,4.291666666666667,21.82,0.805712,428.05
yuv,104,4.333333333333333,21.76,0.805316,433.34
yuv,105,4.375,21.73,0.8052,436.6
yuv,106,4.416666666666667,21.64,0.803153,445.55
yuv,107,4.458333333333333,21.6,0.801933,450.37
yuv,108,4.5,21.52,0.800491,458.7
yuv,109,4.541666666666667,21.49,0.800081,461.14
yuv,110,4.583333333333333,21.41,0.79839,469.49
yuv,111,4.625,21.44,0.797975,467.23
yuv,112,4.666666666666667,21.43,0.797551,468.33
yuv,113,4.708333333333333,21.43,0.797746,467.49
yuv,114,4.75,21.39,0.796654,471.96
yuv,115,4.791666666666667,21.33,0.794947,478.64
yuv,116,4.833333333333333,21.21,0.79225,492.54
yuv,117,4.875,21.13,0.788625,501.72
yuv,118,4.916666666666667,20.97,0.782419,519.82
yuv,119,4.958333333333333,20.85,0.774735,534.95
yuv,120,5.0,20.62,0.763638,564.3
