2026-08-29T08:49:57.372Z,4, 120308, 275040, 0, 196.00, 37;5, 86820, 275040, 45, 340.12, 47
2026-08-29T08:49:58.450Z,4, 120308, 275040, 0, 195.97, 37;5, 86820, 275040, 34, 244.21, 48
2026-08-29T08:49:59.510Z,4, 120308, 275040, 0, 196.01, 37;5, 86820, 275040, 0, 197.79, 44
2026-08-29T08:50:00.568Z,4, 120308, 275040, 0, 196.07, 37;5, 86894, 275040, 0, 219.03, 44
2026-08-29T08:50:01.632Z,4, 120308, 275040, 0, 196.01, 37;5, 86894, 275040, 0, 197.87, 44
2026-08-29T08:50:02.691Z,4, 120308, 275040, 0, 195.95, 37;5, 86894, 275040, 0, 197.67, 44
2026-08-29T08:50:03.768Z,4, 120308, 275040, 0, 196.00, 37;5, 86894, 275040, 0, 197.49, 44
2026-08-29T08:50:04.847Z,4, 120308, 275040, 0, 196.07, 37;5, 86896, 275040, 0, 197.94, 44
2026-08-29T08:50:05.906Z,4, 120308, 275040, 0, 196.07, 37;5, 86898, 275040, 0, 198.14, 44
2026-08-29T08:50:06.966Z,4, 120308, 275040, 0, 195.91, 37;5, 86918, 275040, 0, 219.43, 45
2026-08-29T08:50:08.024Z,4, 120308, 275040, 0, 195.96, 37;5, 86918, 275040, 0, 201.59, 44
2026-08-29T08:50:09.083Z,4, 120308, 275040, 0, 195.95, 37;5, 86918, 275040, 0, 198.14, 44
2026-08-29T08:50:10.154Z,4, 120308, 275040, 0, 195.99, 37;5, 86918, 275040, 0, 198.06, 44
2026-08-29T08:50:11.211Z,4, 120308, 275040, 0, 196.10, 37;5, 89216, 275040, 0, 227.30, 45
2026-08-29T08:50:12.270Z,4, 120308, 275040, 0, 195.99, 37;5, 89216, 275040, 0, 198.17, 44
2026-08-29T08:50:13.330Z,4, 120308, 275040, 0, 195.99, 37;5, 89216, 275040, 20, 311.39, 46
2026-08-29T08:50:14.389Z,4, 120308, 275040, 0, 195.95, 37;5, 89216, 275040, 0, 198.10, 45
2026-08-29T08:50:15.465Z,4, 120308, 275040, 0, 196.10, 37;5, 89216, 275040, 0, 197.90, 45
2026-08-29T08:50:16.524Z,4, 120308, 275040, 0, 195.99, 37;5, 89216, 275040, 0, 197.44, 44
2026-08-29T08:50:17.600Z,4, 120308, 275040, 0, 195.99, 37;5, 89216, 275040, 0, 197.98, 45
2026-08-29T08:50:18.658Z,4, 120308, 275040, 0, 195.99, 37;5, 89216, 275040, 0, 197.79, 45
2026-08-29T08:50:19.724Z,4, 120308, 275040, 0, 195.99, 37;5, 89216, 275040, 0, 197.68, 45
2026-08-29T08:50:20.783Z,4, 120308, 275040, 0, 196.10, 37;5, 89216, 275040, 0, 197.32, 45
2026-08-29T08:50:21.841Z,4, 120308, 275040, 0, 195.99, 37;5, 89216, 275040, 90, 438.51, 53
2026-08-29T08:50:22.924Z,4, 120308, 275040, 0, 196.06, 37;5, 89216, 275040, 98, 452.23, 52
2026-08-29T08:50:23.987Z,4, 120308, 275040, 0, 195.99, 37;5, 89218, 275040, 100, 582.41, 60
2026-08-29T08:50:25.068Z,4, 120308, 275040, 0, 196.03, 37;5, 89218, 275040, 100, 1081.01, 64
2026-08-29T08:50:26.131Z,4, 120308, 275040, 0, 196.14, 37;5, 89218, 275040, 100, 1085.57, 65
2026-08-29T08:50:27.192Z,4, 120308, 275040, 0, 195.99, 37;5, 89218, 275040, 100, 1082.82, 65
2026-08-29T08:50:28.283Z,4, 120308, 275040, 0, 196.01, 37;5, 89220, 275040, 96, 785.37, 52
2026-08-29T08:50:29.343Z,4, 120308, 275040, 0, 196.01, 37;5, 89220, 275040, 0, 203.04, 48
2026-08-29T08:50:30.427Z,4, 120310, 275040, 0, 196.11, 37;5, 89220, 275040, 0, 200.84, 48
2026-08-29T08:50:31.564Z,4, 120312, 275040, 0, 196.00, 37;5, 89220, 275040, 0, 200.12, 47
2026-08-29T08:50:32.676Z,4, 120312, 275040, 0, 196.00, 37;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:33.803Z,4, 121252, 275040, 0, 196.67, 37;5, 89220, 275040, 0, 200.04, 47
2026-08-29T08:50:34.868Z,4, 121498, 275040, 7, 201.03, 38;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:35.947Z,4, 121498, 275040, 0, 196.22, 37;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:37.020Z,4, 121498, 275040, 0, 196.10, 37;5, 89220, 275040, 0, 200.08, 47
2026-08-29T08:50:38.076Z,4, 122048, 275040, 3, 235.03, 38;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:39.149Z,4, 124252, 275040, 0, 214.92, 37;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:40.206Z,4, 126298, 275040, 100, 922.57, 54;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:41.309Z,4, 126298, 275040, 100, 1051.09, 54;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:42.380Z,4, 126298, 275040, 100, 1103.97, 57;5, 89220, 275040, 0, 200.08, 47
2026-08-29T08:50:43.462Z,4, 126298, 275040, 100, 1103.73, 55;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:44.525Z,4, 126310, 275040, 0, 346.66, 41;5, 89220, 275040, 0, 200.00, 47
2026-08-29T08:50:45.591Z,4, 126310, 275040, 0, 198.66, 40;5, 89220, 275040, 0, 200.00, 47
