trace,range,count,median_ms,min_ms,max_ms,sum_across_ranges_ms
cache_2,h3.profile.audio_vae,1,23.83797,23.83797,23.83797,23.83797
cache_2,h3.profile.output.early_aac_encode,1,107.878044,107.878044,107.878044,107.878044
cache_2,h3.profile.output.submit_u8_d2h,8,0.065234,0.051989,0.092348,0.5343
cache_2,h3.profile.output.d2h_wait,8,16.347838,0.01036,57.705352,202.04347800000002
cache_2,h3.profile.output.video_encode_mux,8,11.5041275,3.133468,16.835828,89.72614999999999
cache_2,h3.profile.output.finish,1,15.424466,15.424466,15.424466,15.424466
cache_2,h3.profile.output.audio_mux_finalize,1,1.411842,1.411842,1.411842,1.411842
cache_3,h3.profile.prepare_request,1,117.123572,117.123572,117.123572,117.123572
cache_3,h3.profile.encoder,8,23.187178000000003,3.214797,23.533596,165.503018
cache_3,h3.profile.dit,8,3657.316414,3657.109578,3657.788395,29259.10942
cache_3,h3.profile.dit.step_01,8,1450.75873,1446.540348,1454.707747,11606.186039
cache_3,h3.profile.dit.step_02,8,725.549454,725.356203,725.757355,5804.405083000001
cache_3,h3.profile.dit.step_03,8,724.1694215,724.004109,724.228326,5793.2498749999995
cache_3,h3.profile.dit.step_04,8,724.3491280000001,724.265985,724.53556,5794.876323
cache_3,h3.profile.decode,8,496.4230755,495.968934,508.599556,3983.1274630000003
cache_3,h3.profile.rdma.release,8,0.008654499999999999,0.007969,0.0109,0.071857
cache_3,h3.profile.video_vae,8,496.369372,467.714601,496.522623,3941.924303
cache_3,h3.profile.audio_vae,1,23.603034,23.603034,23.603034,23.603034
cache_3,h3.profile.output.early_aac_encode,1,111.580231,111.580231,111.580231,111.580231
cache_3,h3.profile.output.submit_u8_d2h,8,0.067939,0.062109,0.454531,1.06772
cache_3,h3.profile.output.d2h_wait,8,16.0323345,0.01218,57.915869,198.21263499999998
cache_3,h3.profile.output.video_encode_mux,8,11.650030000000001,3.103159,15.661201,90.20240100000001
cache_3,h3.profile.output.finish,1,15.967035,15.967035,15.967035,15.967035
cache_3,h3.profile.output.audio_mux_finalize,1,1.908782,1.908782,1.908782,1.908782
cache_4,h3.profile.prepare_request,1,475.590986,475.590986,475.590986,475.590986
cache_4,h3.profile.encoder,8,391.214949,373.170135,392.20979,3111.5801009999996
cache_4,h3.profile.dit,8,3945.8364315,3945.644421,3946.065633,31566.626837000003
cache_4,h3.profile.dit.step_01,8,1727.5414,1723.383912,1731.474693,13821.100285
cache_4,h3.profile.dit.step_02,8,729.2541765,729.224147,729.427753,5834.304367
cache_4,h3.profile.dit.step_03,8,728.8608489999999,728.832755,729.0582,5831.183827000001
cache_4,h3.profile.dit.step_04,8,727.3745985,727.200587,727.461842,5818.839910000001
cache_4,h3.profile.decode,8,497.158436,497.079973,509.444659,3989.540296
cache_4,h3.profile.rdma.release,8,0.00823,0.007009,0.01074,0.067248
cache_4,h3.profile.video_vae,8,497.0898075,468.630524,497.22747,3948.4034890000003
cache_4,h3.profile.audio_vae,1,23.637935,23.637935,23.637935,23.637935
cache_4,h3.profile.output.early_aac_encode,1,100.557688,100.557688,100.557688,100.557688
cache_4,h3.profile.output.submit_u8_d2h,8,0.0666085,0.050009,0.088008,0.528998
cache_4,h3.profile.output.d2h_wait,8,16.440206500000002,0.00894,57.83815,202.45384099999998
cache_4,h3.profile.output.video_encode_mux,8,11.594811499999999,3.119518,16.998755,89.82099000000001
cache_4,h3.profile.output.finish,1,16.063663,16.063663,16.063663,16.063663
cache_4,h3.profile.output.audio_mux_finalize,1,1.783935,1.783935,1.783935,1.783935
