mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
fp8-base,sys,2,full_capture,24052,2167.208,2031.824576365583,-248487869,25574828391
fp8-base,sys,2,timestamps_inside_fine_vsa_kernels,2635,2162.893,2152.689762049336,3526799151,17376067261
fp8-base,sys,3,full_capture,24104,2167.552,2020.492246433538,-221280606,25758813514
fp8-base,sys,3,timestamps_inside_fine_vsa_kernels,2654,2167.424,2158.972627354936,3516203421,17376684769
fp8-base,sys,4,full_capture,24899,2305.054,2035.2159431454677,-39767452,26936524955
fp8-base,sys,4,timestamps_inside_fine_vsa_kernels,2617,2291.844,2165.9938016813144,3531024849,17375842758
fp8-base,sys,5,full_capture,25007,2321.256,2053.5553144151236,921670,27114151885
fp8-base,sys,5,timestamps_inside_fine_vsa_kernels,2581,2305.647,2188.0629728787294,3522988250,17375612673
fp8-base,sys,6,full_capture,24732,2374.341,2113.4535909001293,-130152434,26489699442
fp8-base,sys,6,timestamps_inside_fine_vsa_kernels,2570,2358.945,2214.2021451509727,3530821794,17375826218
fp8-base,sys,7,full_capture,23652,1797.83,1727.4963599668527,-84527887,26704518092
fp8-base,sys,7,timestamps_inside_fine_vsa_kernels,3205,1796.678,1783.5173840873636,3517267378,17379828382
fp8-overlap,gpc,0,full_capture,24014,2377.5562,2256.7057183910633,-180901118,25756838891
fp8-overlap,gpc,0,timestamps_inside_fine_vsa_kernels,2647,2377.3823,2368.679858103513,3687588232,17106568202
fp8-overlap,gpc,1,full_capture,24097,2377.5548,2270.9973069366724,-150766488,25992675919
fp8-overlap,gpc,1,timestamps_inside_fine_vsa_kernels,2640,2377.3571,2368.3767300757577,3695419250,17106571392
fp8-overlap,gpc,2,full_capture,23711,2377.5288,2281.5549692042932,-237134602,25273681261
fp8-overlap,gpc,2,timestamps_inside_fine_vsa_kernels,2639,2377.4593,2370.6374752557786,3689746471,17106196372
fp8-overlap,gpc,3,full_capture,23802,2377.524,2264.6875052669525,-209635592,25517030309
fp8-overlap,gpc,3,timestamps_inside_fine_vsa_kernels,2649,2376.2037,2358.6529002265006,3684718111,17106236466
fp8-overlap,gpc,4,full_capture,24514,2586.8011,2356.135425240067,-39193678,26631108519
fp8-overlap,gpc,4,timestamps_inside_fine_vsa_kernels,2613,2542.202,2394.112142288557,3702098035,17106417902
fp8-overlap,gpc,5,full_capture,24629,2586.1035,2380.3991293028544,933200,26850024739
fp8-overlap,gpc,5,timestamps_inside_fine_vsa_kernels,2584,2552.6111,2423.3296089396285,3689748792,17105986597
fp8-overlap,gpc,6,full_capture,24356,2631.6076,2415.084825841682,-116976811,26191358132
fp8-overlap,gpc,6,timestamps_inside_fine_vsa_kernels,2575,2593.2158,2437.2746267184466,3699904344,17106175833
fp8-overlap,gpc,7,full_capture,23243,1950.1194,1945.6246605961364,-76634395,26388057686
fp8-overlap,gpc,7,timestamps_inside_fine_vsa_kernels,3208,1950.0717,1948.151022225686,3689964238,17109150952
fp8-overlap,sys,0,full_capture,24014,2167.089,1995.196717164654,-180901118,25756838891
fp8-overlap,sys,0,timestamps_inside_fine_vsa_kernels,2647,2163.661,2141.3988900642235,3687588232,17106568202
fp8-overlap,sys,1,full_capture,24097,2167.471,2011.19095859634,-150766488,25992675919
fp8-overlap,sys,1,timestamps_inside_fine_vsa_kernels,2640,2165.748,2160.240190151515,3695419250,17106571392
fp8-overlap,sys,2,full_capture,23711,2167.52,2028.0323642169458,-237134602,25273681261
fp8-overlap,sys,2,timestamps_inside_fine_vsa_kernels,2639,2162.873,2152.279108374384,3689746471,17106196372
fp8-overlap,sys,3,full_capture,23802,2167.557,2014.9485925876397,-209635592,25517030309
fp8-overlap,sys,3,timestamps_inside_fine_vsa_kernels,2649,2167.231,2158.692817667044,3684718111,17106236466
fp8-overlap,sys,4,full_capture,24514,2305.063,2026.0531583483316,-39193678,26631108519
fp8-overlap,sys,4,timestamps_inside_fine_vsa_kernels,2613,2293.105,2165.29925105243,3702098035,17106417902
fp8-overlap,sys,5,full_capture,24629,2320.572,2042.3705576638515,933200,26850024739
fp8-overlap,sys,5,timestamps_inside_fine_vsa_kernels,2584,2306.009,2188.0307623839008,3689748792,17105986597
fp8-overlap,sys,6,full_capture,24356,2374.625,2103.9175150995648,-116976811,26191358132
fp8-overlap,sys,6,timestamps_inside_fine_vsa_kernels,2575,2358.342,2212.862028737864,3699904344,17106175833
fp8-overlap,sys,7,full_capture,23243,1797.954,1722.6698026055155,-76634395,26388057686
fp8-overlap,sys,7,timestamps_inside_fine_vsa_kernels,3208,1797.139,1784.0610648379052,3689964238,17109150952
