mode,physical_gpu,phase,seconds,share_percent
bf16-overlap,5,rdma_barrier,0.291723364,6.589399474581458
bf16-overlap,5,rdma_other,0.0,0.0
bf16-overlap,5,pointwise,0.077215581,1.7441328726447225
bf16-overlap,5,attention_other,0.00013292799999999998,0.003002555850676273
bf16-overlap,5,communication_other,0.0034013140000000003,0.07682832248049408
bf16-overlap,5,layout_copy,0.169693888,3.8330176955826025
bf16-overlap,5,memory_ops,0.008619909,0.1947050899753781
bf16-overlap,5,other,0.135187412,3.0535910781655016
bf16-overlap,5,concurrent_mixed,0.040762801,0.9207434598617494
bf16-overlap,5,idle,0.471861808,10.658337087153077
bf16-overlap,5,sage_quantization,0.052123220000000005,1.1773507400027574
bf16-overlap,2,linear_gemm,2.504827632,56.57863551243677
bf16-overlap,2,vsa,0.660895279,14.928194109937543
bf16-overlap,2,rdma_barrier,0.290947162,6.571866751179265
bf16-overlap,2,rdma_other,0.0,0.0
bf16-overlap,2,pointwise,0.077221625,1.7442693935249094
bf16-overlap,2,attention_other,0.00013564799999999999,0.0030639947643275687
bf16-overlap,2,communication_other,0.003286888,0.07424368676966202
bf16-overlap,2,layout_copy,0.170888292,3.8599966971343536
bf16-overlap,2,memory_ops,0.009005111,0.20340596954019668
bf16-overlap,2,other,0.139965697,3.1615221956347233
bf16-overlap,2,concurrent_mixed,0.040328249999999996,0.910927893183042
bf16-overlap,2,idle,0.47740861,10.78362734050559
bf16-overlap,2,sage_quantization,0.052251418,1.1802464553896208
bf16-overlap,6,linear_gemm,2.52324282,56.99459475707073
bf16-overlap,6,vsa,0.661234328,14.935852493112014
bf16-overlap,6,rdma_barrier,0.273106857,6.168892869411699
bf16-overlap,6,rdma_other,0.0,0.0
bf16-overlap,6,pointwise,0.077279901,1.7455857222498883
bf16-overlap,6,attention_other,0.000134656,0.003041587631113567
bf16-overlap,6,communication_other,0.0033942440000000003,0.0766686264806725
bf16-overlap,6,layout_copy,0.168686521,3.8102634550943066
bf16-overlap,6,memory_ops,0.008584967,0.19391582581331798
bf16-overlap,6,other,0.135899573,3.0696772539687442
bf16-overlap,6,concurrent_mixed,0.039622169,0.8949790514220786
bf16-overlap,6,idle,0.483878989,10.929779199576236
bf16-overlap,6,sage_quantization,0.052096587,1.1767491581692004
bf16-overlap,3,linear_gemm,2.6347337189999998,59.5129328881613
bf16-overlap,3,vsa,0.691955987,15.629788285216998
bf16-overlap,3,rdma_barrier,0.13208898,2.9836042045984383
bf16-overlap,3,rdma_other,0.0,0.0
bf16-overlap,3,pointwise,0.077398845,1.748272409803322
bf16-overlap,3,attention_other,0.000138752,0.00313410740696493
bf16-overlap,3,communication_other,0.0014011199999999998,0.031648268637905784
bf16-overlap,3,layout_copy,0.177690572,4.013645481528448
bf16-overlap,3,memory_ops,0.010765888,0.24317811147482457
bf16-overlap,3,other,0.142278941,3.2137733715061856
bf16-overlap,3,concurrent_mixed,0.027240189999999997,0.6152969416378288
bf16-overlap,3,idle,0.479227374,10.82470928328062
bf16-overlap,3,sage_quantization,0.052241244,1.180016646747162
bf16-overlap,7,linear_gemm,2.6418756360000004,59.67425333737737
bf16-overlap,7,vsa,0.801426689,18.10249453798345
bf16-overlap,7,rdma_barrier,0.05594413,1.2636568280760563
bf16-overlap,7,rdma_other,0.0,0.0
bf16-overlap,7,pointwise,0.077635085,1.7536085601566243
bf16-overlap,7,attention_other,0.000160192,0.0036183906086869094
