2026-08-29T07:38:34.043Z,2, 190266, 275040, 0, 194.47, 37;3, 71312, 275040, 0, 207.75, 46
2026-08-29T07:38:35.187Z,2, 190266, 275040, 0, 194.45, 37;3, 71312, 275040, 0, 207.82, 46
2026-08-29T07:38:36.355Z,2, 190266, 275040, 0, 194.32, 37;3, 71314, 275040, 0, 208.95, 46
2026-08-29T07:38:37.539Z,2, 190730, 275040, 0, 194.82, 37;3, 71982, 275040, 1, 208.40, 46
2026-08-29T07:38:38.799Z,2, 191164, 275040, 0, 197.04, 37;3, 72260, 275040, 0, 210.51, 46
2026-08-29T07:38:39.981Z,2, 191262, 275040, 0, 194.47, 37;3, 72360, 275040, 8, 208.25, 46
2026-08-29T07:38:41.076Z,2, 191266, 275040, 0, 194.63, 37;3, 114294, 275040, 16, 210.34, 46
2026-08-29T07:38:42.170Z,2, 191696, 275040, 0, 194.77, 37;3, 122578, 275040, 11, 210.62, 46
2026-08-29T07:38:43.310Z,2, 191696, 275040, 0, 194.51, 37;3, 128910, 275040, 17, 209.99, 46
2026-08-29T07:38:44.440Z,2, 192090, 275040, 0, 194.62, 37;3, 136058, 275040, 23, 210.49, 46
2026-08-29T07:38:45.550Z,2, 192524, 275040, 0, 195.22, 37;3, 141620, 275040, 7, 211.06, 46
2026-08-29T07:38:46.646Z,2, 195638, 275040, 0, 194.94, 37;3, 146878, 275040, 0, 212.68, 46
2026-08-29T07:38:47.796Z,2, 195638, 275040, 0, 194.59, 37;3, 146878, 275040, 0, 208.88, 46
2026-08-29T07:38:48.932Z,2, 198258, 275040, 100, 451.04, 52;3, 149522, 275040, 100, 473.45, 57
2026-08-29T07:38:50.015Z,2, 198258, 275040, 100, 1073.98, 56;3, 149532, 275040, 100, 1081.04, 63
2026-08-29T07:38:51.109Z,2, 198258, 275040, 100, 1066.30, 56;3, 149532, 275040, 100, 1071.76, 64
2026-08-29T07:38:52.215Z,2, 198890, 275040, 0, 341.40, 40;3, 150164, 275040, 23, 333.53, 48
2026-08-29T07:38:53.329Z,2, 200036, 275040, 100, 721.01, 55;3, 150166, 275040, 100, 761.03, 65
2026-08-29T07:38:54.407Z,2, 200036, 275040, 100, 1058.58, 56;3, 150166, 275040, 100, 1068.21, 65
2026-08-29T07:38:55.488Z,2, 200036, 275040, 100, 1049.74, 53;3, 150166, 275040, 100, 1059.60, 64
2026-08-29T07:38:56.570Z,2, 200036, 275040, 100, 1058.85, 57;3, 150166, 275040, 100, 1076.81, 67
2026-08-29T07:38:57.671Z,2, 200036, 275040, 100, 1084.06, 59;3, 153468, 275040, 100, 1075.09, 67
2026-08-29T07:38:58.762Z,2, 200038, 275040, 100, 1067.79, 60;3, 158012, 275040, 100, 1085.94, 68
2026-08-29T07:38:59.852Z,2, 200038, 275040, 100, 1079.34, 58;3, 158012, 275040, 100, 1075.64, 67
2026-08-29T07:39:00.968Z,2, 200046, 275040, 0, 871.50, 47;3, 159298, 275040, 5, 859.68, 56
2026-08-29T07:39:02.087Z,2, 203326, 275040, 100, 703.70, 56;3, 166130, 275040, 100, 822.57, 66
2026-08-29T07:39:03.200Z,2, 209882, 275040, 38, 909.03, 50;3, 172686, 275040, 62, 936.18, 57
2026-08-29T07:39:04.295Z,2, 209882, 275040, 0, 200.19, 43;3, 172758, 275040, 0, 227.80, 52
2026-08-29T07:39:05.370Z,2, 209882, 275040, 0, 198.27, 42;3, 172768, 275040, 0, 217.77, 52
2026-08-29T07:39:06.466Z,2, 209882, 275040, 0, 198.21, 42;3, 172784, 275040, 0, 241.93, 51
2026-08-29T07:39:07.542Z,2, 209882, 275040, 0, 222.19, 41;3, 172784, 275040, 0, 238.06, 51
2026-08-29T07:39:08.913Z,2, 209882, 275040, 0, 198.29, 41;3, 172784, 275040, 0, 215.21, 50
2026-08-29T07:39:10.032Z,2, 209882, 275040, 0, 197.55, 40;3, 172784, 275040, 0, 227.27, 50
2026-08-29T07:39:11.172Z,2, 209882, 275040, 0, 196.91, 40;3, 173918, 275040, 0, 214.51, 50
2026-08-29T07:39:12.269Z,2, 209882, 275040, 0, 196.55, 40;3, 173918, 275040, 0, 213.46, 49
2026-08-29T07:39:13.405Z,2, 209882, 275040, 0, 196.34, 39;3, 173918, 275040, 0, 271.80, 49
2026-08-29T07:39:14.516Z,2, 209882, 275040, 0, 196.35, 39;3, 173920, 275040, 100, 947.22, 65
2026-08-29T07:39:15.662Z,2, 209882, 275040, 0, 196.33, 39;3, 173920, 275040, 27, 967.53, 56
2026-08-29T07:39:16.793Z,2, 209882, 275040, 0, 196.36, 38;3, 173922, 275040, 0, 215.71, 50
2026-08-29T07:39:17.981Z,2, 209882, 275040, 0, 196.17, 38;3, 173922, 275040, 0, 213.31, 49
2026-08-29T07:39:19.070Z,2, 209882, 275040, 0, 196.08, 38;3, 173922, 275040, 0, 212.74, 48
2026-08-29T07:39:20.227Z,2, 209884, 275040, 0, 195.46, 38;3, 173922, 275040, 0, 211.95, 48
2026-08-29T07:39:21.393Z,2, 209884, 275040, 0, 195.03, 38;3, 173922, 275040, 0, 211.49, 48
2026-08-29T07:39:22.576Z,2, 209884, 275040, 0, 194.88, 37;3, 173922, 275040, 0, 211.38, 47
2026-08-29T07:39:23.685Z,2, 210824, 275040, 1, 195.00, 37;3, 173922, 275040, 0, 211.00, 47
2026-08-29T07:39:24.860Z,2, 210824, 275040, 1, 194.96, 37;3, 173922, 275040, 0, 210.40, 47
2026-08-29T07:39:26.021Z,2, 210824, 275040, 1, 194.63, 37;3, 173922, 275040, 0, 209.95, 46
2026-08-29T07:39:27.110Z,2, 210824, 275040, 0, 194.42, 37;3, 173922, 275040, 0, 209.45, 46
2026-08-29T07:39:28.196Z,2, 211070, 275040, 6, 198.53, 37;3, 173922, 275040, 0, 209.49, 46
2026-08-29T07:39:29.333Z,2, 211070, 275040, 0, 194.68, 36;3, 173922, 275040, 0, 209.46, 46
2026-08-29T07:39:30.468Z,2, 211622, 275040, 52, 263.35, 38;3, 173922, 275040, 0, 209.52, 46
2026-08-29T07:39:31.574Z,2, 215870, 275040, 100, 543.07, 53;3, 173922, 275040, 0, 209.35, 46
2026-08-29T07:39:32.685Z,2, 215870, 275040, 0, 727.17, 40;3, 173922, 275040, 0, 209.35, 46
2026-08-29T07:39:33.788Z,2, 215870, 275040, 100, 1018.26, 53;3, 173922, 275040, 0, 209.48, 46
2026-08-29T07:39:34.879Z,2, 215870, 275040, 100, 1092.10, 56;3, 173922, 275040, 0, 209.33, 46
